,Country Name,Continent,Country Code,years,Population,CO2,GDP/cap,AE,CO2_abs,CO2_abs_new
0,Aruba,Americas,ABW,1990,62152,,12305.38791,100,,0
1,Aruba,Americas,ABW,1995,80324,,16441.79064,100,,0
2,Aruba,Americas,ABW,2000,90866,,20614.79935,91.66040039,,0
3,Aruba,Americas,ABW,2005,100028,,23591.15984,100,,0
4,Aruba,Americas,ABW,2010,101665,,24134.47386,93.35629272,,0
5,Aruba,Americas,ABW,2015,104339,,28399.05013,100,,0
6,Aruba,Americas,ABW,2019,106310,,31135.88436,100,,0
7,Afghanistan,Asia,AFG,1990,12412311,0.191745115,,,2380,0.238
8,Afghanistan,Asia,AFG,1995,18110662,0.068467956,,,1240,0.124
9,Afghanistan,Asia,AFG,2000,20779957,0.036573704,,1.613590956,760,0.076
10,Afghanistan,Asia,AFG,2005,25654274,0.060418781,242.0313132,25.39089394,1549.999952,0.154999995
11,Afghanistan,Asia,AFG,2010,29185511,0.243614036,543.3065262,42.70000076,7110.000134,0.711000013
12,Afghanistan,Asia,AFG,2015,34413603,0.172896741,556.0072209,71.5,5949.999809,0.594999981
13,Afghanistan,Asia,AFG,2019,38041757,0.159824372,494.1793499,97.69999695,6079.999924,0.607999992
14,Angola,Africa,AGO,1990,11848385,0.553661955,947.7042621,,6560,0.656
15,Angola,Africa,AGO,1995,13945205,0.912141485,397.1794793,,12720,1.272
16,Angola,Africa,AGO,2000,16395477,0.988077383,556.8361822,24.21274376,16200,1.62
17,Angola,Africa,AGO,2005,19433604,0.813539291,1902.42215,29.52778625,15810.00042,1.581000042
18,Angola,Africa,AGO,2010,23356247,0.976184198,3497.974488,34.89563751,22799.99924,2.279999924
19,Angola,Africa,AGO,2015,27884380,1.13504405,3127.890598,42,31649.99962,3.164999962
20,Angola,Africa,AGO,2019,31825299,0.792137069,2177.799015,45.64279938,25209.99908,2.520999908
21,Albania,Europe,ALB,1990,3286542,1.819541634,617.2304355,100,5980,0.598
22,Albania,Europe,ALB,1995,3187784,0.605436253,750.6044492,100,1930,0.193
