,Country Name,Country Code,Continent,CO2_abs,Population,GDP_cap,AE,CO2_cap,year,CO2_abs_new
127,Mali,MLI,Africa,10,8449915,317.3892458,,0.001183444,1990,0.001
13,Burundi,BDI,Africa,170,5438959,208.1466789,,0.031255981,1990,0.017
199,Uganda,UGA,Africa,790,17354395,248.0293243,,0.04552161,1990,0.079
60,Ethiopia,ETH,Africa,2310,47887864,254.2432622,,0.048237691,1990,0.231
145,Nepal,NPL,Asia,940,18905480,191.8788839,,0.049721033,1990,0.094
31,Central African Republic,CAF,Africa,150,2806740,513.3041877,,0.053442784,1990,0.015
16,Burkina Faso,BFA,Africa,500,8811033,351.9792335,,0.056747035,1990,0.05
136,Malawi,MWI,Africa,550,9404499,199.9863636,,0.058482648,1990,0.055
187,Chad,TCD,Africa,390,5963250,291.5533573,,0.065400579,1990,0.039
15,Benin,BEN,Africa,330,4978489,393.686768,,0.066285172,1990,0.033
127,Mali,MLI,Africa,10,9585660,282.3410342,,0.001043225,1995,0.001
13,Burundi,BDI,Africa,200,5987044,167.0988878,,0.033405467,1995,0.02
60,Ethiopia,ETH,Africa,2570,57047906,134.3429602,,0.045049857,1995,0.257
199,Uganda,UGA,Africa,950,20413157,281.9661333,6.8,0.046538612,1995,0.095
31,Central African Republic,CAF,Africa,160,3222662,346.1081962,3,0.049648396,1995,0.016
38,"Congo, Dem. Rep.",COD,Africa,2110,41576239,135.7371304,,0.050750141,1995,0.211
15,Benin,BEN,Africa,300,5905552,367.3877143,,0.050799654,1995,0.03
171,Sierra Leone,SLE,Africa,240,4303953,202.3160428,,0.055762691,1995,0.024
140,Niger,NER,Africa,530,9490289,242.6203967,6.2,0.055846561,1995,0.053
16,Burkina Faso,BFA,Africa,570,10089880,235.8321506,6.625332832,0.056492248,1995,0.057
38,"Congo, Dem. Rep.",COD,Africa,1630,47105830,405.2162186,6.699999809,0.034602936,2000,0.163
187,Chad,TCD,Africa,290,8355654,166.1757089,3.179881334,0.034707038,2000,0.029
1,Afghanistan,AFG,Asia,760,20779957,,1.613590956,0.036573704,2000,0.076
13,Burundi,BDI,Africa,260,6378871,136.4639708,2.463236809,0.040759564,2000,0.026
60,Ethiopia,ETH,Africa,3560,66224809,124.4607909,12.69999981,0.053756289,2000,0.356
199,Uganda,UGA,Africa,1300,23650159,261.8691416,7.351130486,0.054967918,2000,0.13
174,Somalia,SOM,Africa,490,8872250,,1.892501235,0.055228381,2000,0.049
140,Niger,NER,Africa,670,11331561,197.8326834,6.481481552,0.059126893,2000,0.067
136,Malawi,MWI,Africa,710,11148751,156.3858168,4.800000191,0.063684264,2000,0.071
31,Central African Republic,CAF,Africa,240,3640421,251.832764,6,0.065926441,2000,0.024
13,Burundi,BDI,Africa,150.000006,7364857,151.6815663,3.207317114,0.020366995,2005,0.015000001
