,Country Name,Country Code,Continent,CO2_abs,Population,GDP_cap,AE,CO2_cap,year,CO2_abs_new
120,Monaco,MCO,Europe,,29433,84303.87843,100,,1990,0
111,Liechtenstein,LIE,Europe,200,28790,49373.61027,100,6.946856547,1990,0.02
33,Switzerland,CHE,Europe,43330,6715519,39607.81909,100,6.452219106,1990,4.333
115,Luxembourg,LUX,Europe,11290,381850,33465.47821,100,29.56658374,1990,1.129
181,Sweden,SWE,Europe,53350,8558835,30593.67244,100,6.233324979,1990,5.335
61,Finland,FIN,Europe,54560,4986431,28364.64508,100,10.94169357,1990,5.456
144,Norway,NOR,Europe,29310,4241473,28242.94374,100,6.91033516,1990,2.931
5,United Arab Emirates,ARE,Asia,55210,1828437,27729.39059,100,30.19518857,1990,5.521
52,Denmark,DNK,Europe,52090,5140939,26891.44645,100,10.13239021,1990,5.209
24,Bermuda,BMU,Americas,,59326,26841.51974,100,,1990,0
120,Monaco,MCO,Europe,,30731,101866.6041,100,,1995,0
111,Liechtenstein,LIE,Europe,200,30884,78631.69911,100,6.475845098,1995,0.02
115,Luxembourg,LUX,Europe,8660,408625,51032.34964,100,21.19302539,1995,0.866
33,Switzerland,CHE,Europe,43440,7040687,50155.97413,100,6.169852459,1995,4.344
97,Japan,JPN,Asia,1171010,125472000,44197.6191,100,9.332839199,1995,117.101
52,Denmark,DNK,Europe,60000,5233373,35351.36546,100,11.46488125,1995,6
144,Norway,NOR,Europe,34390,4359184,34875.70433,100,7.889091169,1995,3.439
24,Bermuda,BMU,Americas,,59746,33989.72316,100,,1995,0
49,Germany,DEU,Europe,874660,81678051,31658.34938,100,10.70862967,1995,87.466
11,Austria,AUT,Europe,61180,7948278,30325.84958,100,7.697264741,1995,6.118
120,Monaco,MCO,Europe,,32148,82365.49236,100,,2000,0
111,Liechtenstein,LIE,Europe,220,33184,74853.93873,100,6.629701061,2000,0.022
24,Bermuda,BMU,Americas,,61833,56284.16865,100,,2000,0
115,Luxembourg,LUX,Europe,8560,436300,48659.59888,100,19.61952785,2000,0.856
97,Japan,JPN,Asia,1182610,126843000,39169.35957,100,9.323415561,2000,118.261
33,Switzerland,CHE,Europe,43710,7184250,38952.0342,100,6.084142395,2000,4.371
144,Norway,NOR,Europe,34290,4490967,38131.46061,100,7.635326646,2000,3.429
173,San Marino,SMR,Europe,,27460,36604.49338,100,,2000,0
202,United States,USA,Americas,5775810,282162411,36329.95607,100,20.46980666,2000,577.581
5,United Arab Emirates,ARE,Asia,84730,3134067,33291.36625,100,27.03515911,2000,8.473
120,Monaco,MCO,Europe,,33842,124197.2754,100,,2005,0
111,Liechtenstein,LIE,Europe,230.0000042,34718,105399.2605,100,6.624805697,2005,0.023
115,Luxembourg,LUX,Europe,11909.99985,465158,80988.13762,100,25.60420297,2005,1.190999985
24,Bermuda,BMU,Americas,,64154,75882.03386,100,,2005,0
